"vernacular_fr";"name";"rank";"tsn"
"pantale bimaculée";"Pantala hymenaea";"espèce";"101802"
"périthème délicate";"Perithemis tenera";"espèce";"101804"
"lydienne";"Plathemis lydia";"espèce";"101809"
"sympétrum bagarreur";"Sympetrum corruptum";"espèce";"101978"
"sympétrum rubigineux";"Sympetrum costiferum";"espèce";"101980"
"sympétrum noir";"Sympetrum danae";"espèce";"101991"
"sympétrum intime";"Sympetrum internum";"espèce";"101982"
"sympétrum de jane";"Sympetrum janeae";"espèce";"593346"
"sympétrum éclaireur";"Sympetrum obtrusum";"espèce";"101981"
"sympétrum à dos roux";"Sympetrum rubicundulum";"espèce";"101983"
"sympétrum semi-ambré";"Sympetrum semicinctum";"espèce";"101990"
"sympétrum tardif";"Sympetrum vicinum";"espèce";"101979"
"traméa lacérée";"Tramea lacerata";"espèce";"101822"
